@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE Ghost1X NUMERIC
   @ATTRIBUTE Ghost1Y NUMERIC
   @ATTRIBUTE Ghost2X NUMERIC
   @ATTRIBUTE Ghost2Y NUMERIC
   @ATTRIBUTE Ghost3X NUMERIC
   @ATTRIBUTE Ghost3Y NUMERIC
   @ATTRIBUTE Ghost4X NUMERIC
   @ATTRIBUTE Ghost4Y NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
15, 8, 6, 5, 6, 8, 5, 1, 7,1, South
15, 7, 5, 5, 6, 9, 5, 1, 7,1, Stop
15, 7, 5, 4, 5, 9, 5, 1, 7,1, West
14, 7, 4, 4, 5, 9, 5, 1, 7,1, West
13, 7, 5, 4, 5, 8, 5, 1, 7,1, North
13, 8, 5, 3, 5, 9, 5, 1, 7,1, North
13, 9, 5, 4, 5, 8, 5, 1, 7,1, West
12, 9, 5, 4, 5, 9, 5, 1, 7,1, West
11, 9, 5, 3, 6, 9, 5, 1, 7,1, West
10, 9, 4, 3, 6, 9, 5, 1, 7,1, West
9, 9, 3, 3, 6, 9, 5, 1, 7,1, West
8, 9, 2, 3, 6, 9, 5, 1, 7,1, West
7, 9, 2, 3, 6, 10, 5, 1, 7,1, West
6, 9, 2, 4, 6, 11, 5, 1, 7,1, West
5, 9, 2, 5, 5, 11, 5, 1, 7,1, West
4, 9, 3, 5, 4, 11, 5, 1, 7,1, West
3, 9, 2, 5, 4, 11, 5, 1, 7,1, East
4, 9, 2, 4, 3, 11, 5, 1, 7,1, East
5, 9, 2, 4, 2, 11, 5, 1, 7,1, East
6, 9, 2, 3, 1, 11, 5, 1, 7,1, North
6, 10, 2, 4, 1, 11, 5, 1, 7,1, West
5, 10, 2, 5, 2, 11, 5, 1, 7,1, Stop
5, 10, 1, 5, 3, 11, 5, 1, 7,1, Stop
5, 10, 2, 5, 3, 11, 5, 1, 7,1, North
5, 11, 2, 5, 3, 11, 5, 1, 7,1, West
4, 11, 3, 5, 3, 11, 5, 1, 7,1, West
3, 11, 2, 5, 3, 1, 5, 1, 7,1, West
2, 11, 3, 5, 3, 1, 5, 1, 7,1, West
1, 11, 2, 5, 3, 1, 5, 1, 7,1, South
1, 10, 2, 4, 3, 1, 5, 1, 7,1, South
1, 9, 2, 4, 3, 1, 5, 1, 7,1, South
1, 8, 3, 4, 3, 1, 5, 1, 7,1, South
1, 7, 2, 4, 3, 1, 5, 1, 7,1, South
1, 6, 3, 4, 3, 1, 5, 1, 7,1, South
1, 5, 3, 5, 3, 1, 5, 1, 7,1, South
1, 4, 4, 5, 3, 1, 5, 1, 7,1, East
2, 4, 3, 5, 3, 1, 5, 1, 7,1, East
3, 4, 3, 5, 3, 1, 5, 1, 7,1, North
1, 11, 6, 5, 6, 9, 8, 11, 14,6, Stop
1, 11, 6, 4, 6, 10, 9, 11, 14,6, Stop
1, 11, 6, 4, 6, 10, 10, 11, 14,6, East
2, 11, 6, 5, 5, 10, 10, 10, 14,7, East
3, 11, 5, 5, 6, 10, 10, 9, 14,7, East
4, 11, 4, 5, 6, 9, 9, 9, 14,8, East
5, 11, 4, 4, 7, 9, 9, 8, 14,8, East
6, 11, 4, 4, 7, 9, 8, 8, 13,8, East
7, 11, 3, 4, 8, 9, 7, 8, 13,9, East
8, 11, 4, 4, 8, 9, 7, 8, 13,9, East
9, 11, 3, 4, 8, 9, 7, 9, 13,9, East
10, 11, 3, 4, 8, 8, 6, 9, 12,9, East
11, 11, 3, 3, 8, 8, 6, 8, 12,9, East
12, 11, 4, 3, 7, 8, 5, 8, 12,9, East
13, 11, 5, 3, 8, 8, 5, 8, 11,9, East
14, 11, 5, 3, 8, 9, 5, 7, 12,9, South
14, 10, 5, 3, 8, 8, 5, 8, 12,9, South
14, 9, 5, 4, 8, 9, 6, 8, 12,8, West
13, 9, 5, 3, 7, 9, 6, 8, 13,8, West
12, 9, 4, 3, 8, 9, 7, 8, 14,8, West
11, 9, 5, 3, 9, 9, 7, 7, 14,8, West
10, 9, 4, 3, 9, 8, 8, 7, 13,8, West
9, 9, 4, 4, 9, 8, 7, 7, 13,8, West
8, 9, 4, 3, 9, 8, 7, 7, 14,8, West
7, 9, 3, 3, 9, 8, 7, 7, 14,7, South
7, 8, 3, 4, 10, 8, 7, 7, 14,8, South
7, 7, 3, 5, 10, 9, 5, 1, 15,8, East
8, 7, 2, 5, 11, 9, 5, 1, 15,8, East
9, 7, 3, 5, 11, 10, 5, 1, 15,8, East
10, 7, 3, 4, 11, 9, 5, 1, 14,8, North
10, 8, 3, 5, 10, 9, 5, 1, 13,8, North
10, 9, 2, 5, 3, 1, 5, 1, 12,8, East
11, 9, 1, 5, 3, 1, 5, 1, 12,8, East
12, 9, 1, 5, 3, 1, 5, 1, 12,7, East
13, 9, 2, 5, 3, 1, 5, 1, 12,7, South
13, 8, 3, 5, 3, 1, 5, 1, 13,7, South
