@RELATION all-data-pacman


   @ATTRIBUTE PosX NUMERIC
   @ATTRIBUTE PosY NUMERIC
   @ATTRIBUTE LastDirection {East, West, North, South, Stop}
   @ATTRIBUTE CloseGhostDist NUMERIC
   @ATTRIBUTE Score NUMERIC
   @ATTRIBUTE Direction {East, West, North, South, Stop}

   @data
6, 11, East, 4, -8, East
7, 11, East, 3, -9, East
8, 11, East, 4, -10, East
9, 11, East, 4, -11, East
10, 11, East, 3, -12, East
11, 11, East, 1, -13, East
12, 11, East, 2, -14, East
13, 11, East, 2, -15, East
14, 11, East, 4, -16, South
14, 10, South, 4, 83, South
14, 9, South, 4, 82, West
13, 9, West, 4, 81, West
12, 9, West, 4, 80, West
11, 9, West, 2, 79, West
10, 9, West, 2, 78, West
9, 9, West, 2, 77, West
8, 9, West, 2, 76, West
7, 9, West, 1, 75, West
6, 9, West, 1, 74, West
5, 9, West, 1, 73, East
6, 9, East, 7, 272, East
7, 9, East, 7, 271, East
8, 9, East, 6, 270, East
9, 9, East, 5, 269, East
10, 9, East, 4, 268, East
11, 9, East, 2, 267, North
11, 10, North, 5, 466, North
11, 11, North, 7, 465, Stop
11, 11, North, 7, 464, Stop
11, 11, North, 6, 463, South
11, 10, South, 5, 462, South
11, 9, South, 3, 461, Stop
11, 9, South, 4, 460, Stop
11, 9, South, 3, 459, Stop
11, 9, South, 2, 458, Stop
11, 9, South, 3, 457, Stop
11, 9, South, 2, 456, Stop
11, 9, South, 1, 455, Stop
11, 9, South, 2, 454, West
10, 9, West, 2, 453, West
9, 9, West, 3, 452, East
10, 9, East, 2, 451, East
11, 9, East, 2, 450, East
12, 9, East, 2, 449, East
13, 9, East, 3, 448, East
14, 9, East, 5, 447, North
14, 10, North, 3, 446, North
14, 11, North, 5, 445, West
13, 11, West, 3, 444, West
12, 11, West, 3, 443, West
11, 11, West, 1, 442, South
11, 10, South, 11, 641, South
11, 9, South, 11, 640, Stop
11, 9, South, 10, 639, West
10, 9, West, 9, 638, South
10, 8, South, 8, 637, South
10, 7, South, 8, 636, South
10, 6, South, 6, 735, South
10, 5, South, 5, 734, South
10, 4, South, 7, 733, West
9, 4, West, 6, 732, West
8, 4, West, 4, 731, West
7, 4, West, 3, 730, West
6, 4, West, 1, 729, West
